text,label
"الدعم الفني من مايكروسوفت يطلب منك مشاركة رمز التحقق لإصلاح المشكلة.",phishing
"لديك استرداد مالي جاهز. أدخل بيانات بطاقتك الآن لإتمام العملية.",phishing
"تم تعليق البريد الإلكتروني الخاص بك. أكد كلمة المرور خلال 24 ساعة.",phishing
"رسالة من الشرطة: عليك دفع غرامة مرورية فورًا عبر هذا الرابط.",phishing
"تم اكتشاف مشكلة في الفاتورة. حدث بيانات الدفع الآن لتجنب الانقطاع.",phishing
"رقم مجهول يطلب منك تحويل مبلغ بسيط بشكل عاجل بسبب ظرف طارئ.",phishing
"تم رفض حوالتك. أعد إدخال معلومات الحساب البنكي لتأكيد العملية.",phishing
"شركتك المصرفية تطلب منك التحقق من OTP وإلا سيتم تجميد الحساب.",phishing
"هناك نشاط احتيالي على حسابك. سجّل الدخول الآن لتأكيد هويتك.",phishing
"فاتورتك غير مدفوعة، وسيتم إيقاف الخدمة اليوم ما لم تُحدّث معلومات البطاقة.",phishing
"تم حظر الشريحة مؤقتًا. يرجى تأكيد ملكية الرقم عبر الرابط المرفق.",phishing
"إشعار أمني: تم كشف جهاز جديد على حسابك، أدخل كلمة المرور فورًا.",phishing
"الجمارك تطلب منك سداد رسوم التخليص خلال ساعة لتجنّب إعادة الشحنة.",phishing
"استلم جائزتك النقدية الآن بعد تأكيد الحساب البنكي والهوية الشخصية.",phishing
"تم تعليق بريد العمل لديك. سجّل الدخول لإعادة التفعيل قبل نهاية اليوم.",phishing
"نعتذر، تعذر تحويل الراتب. يرجى تزويدنا برقم الآيبان ورمز التحقق.",phishing
"إشعار من شركة الاتصالات: سيتم إلغاء الرقم إن لم تؤكد بياناتك الآن.",phishing
"الدعم الفني يطلب منك تنزيل ملف الحماية ثم إدخال بيانات الحساب.",phishing
"تم رصد عملية شراء غير معتادة. أكد رقم البطاقة وتاريخ الانتهاء حالًا.",phishing
"إشعار رسمي: عليك دفع المخالفة عبر الرابط خلال ساعتين لتفادي التصعيد.",phishing
"نرجو التحقق من هويتك لاستلام التعويض المالي المستحق اليوم.",phishing
"تم حجز الشحنة في المستودع، وأنت بحاجة لدفع رسوم رمزية لإتمام التوصيل.",phishing
"أدخل رمز الدخول المرسل لك الآن حتى لا يتم إغلاق حسابك نهائيًا.",phishing
"مرحبًا، موعدك في العيادة غدًا الساعة 4:30 مساءً.",safe
"تم شحن طلبك وسيصل خلال يومين دون الحاجة لأي إجراء إضافي.",safe
"هذا تذكير بموعد الاجتماع غدًا في تمام التاسعة صباحًا.",safe
"يرجى الحضور إلى المكتب غدًا لتسليم المستندات المطلوبة.",safe
"تم استلام طلب الإجازة وسيتم الرد عليك خلال يومي عمل.",safe
"شكراً لتواصلك معنا، سنعاود الاتصال بك قريبًا.",safe
"Your appointment is confirmed for next Monday at 10 AM.",safe
"Your order has been dispatched and will arrive tomorrow.",safe
"Meeting reminder: please join the conference room at 2 PM.",safe
"Thank you for your purchase. Your invoice is attached for reference.",safe
"Your support ticket has been received and is under review.",safe
"Your electricity bill is available on the official app.",safe
"Reminder: bring your ID card when visiting the clinic tomorrow.",safe
"The school meeting will begin at 8:30 AM on Tuesday.",safe
"Your account password was changed successfully from the official app.",safe
"Please review the attached report before our internal meeting.",safe
"Dinner is at 8 tonight. Let me know if you are coming.",safe
"Your monthly statement is available in the official banking application.",safe
"The maintenance team will visit your building tomorrow morning.",safe
"Please check your email for the official semester timetable.",safe
"Your request has been approved and recorded in the company portal.",safe
"The invoice has been paid successfully. No further action is needed.",safe
"Your shipment has reached the city warehouse and will be delivered tomorrow.",safe
"The training session starts at 11 AM. Bring your laptop with you.",safe
"Thank you. We received your application and will review it shortly.",safe
"Your appointment was rescheduled to Wednesday at 1 PM.",safe
"The document was shared with you through the official organization account.",safe
"A new login to your account was detected and approved from your usual device.",safe
"Your package was delivered to the reception desk at 3:15 PM.",safe
"This is a reminder to submit your assignment before Friday.",safe
"The payment was completed successfully through the official platform.",safe
"تم تأكيد حجزك في الفندق من يوم الخميس إلى السبت.",safe
"سنزوركم غدًا بعد صلاة المغرب إن شاء الله.",safe
"تم إضافة رصيد المكافآت إلى حسابك في التطبيق الرسمي.",safe
"Your verification code is 482991. Do not share it with anyone.",safe
"الرمز الخاص بتسجيل الدخول هو 552200 ولا ينبغي مشاركته مع أي شخص.",safe
"يرجى استخدام التطبيق الرسمي لتحديث معلوماتك إذا رغبت بذلك.",safe
"The parcel has been delivered successfully to your registered address.",safe
"تم استلام طلبك وسيتم التواصل معك خلال يومي عمل.",safe
"موعد المقابلة الشخصية غدًا الساعة 10 صباحًا في مقر الشركة.",safe
"تم إصدار الفاتورة وهي متاحة الآن في التطبيق الرسمي.",safe
"سيصل الفني غدًا بين الساعة 3 و5 مساءً لإكمال الصيانة.",safe
"شكرًا لك، تم توثيق البلاغ وسيتم متابعته من الجهة المختصة.",safe
"تم تحديث كلمة المرور بنجاح من خلال التطبيق الرسمي الخاص بك.",safe
"يرجى إحضار الهوية الأصلية عند زيارة الفرع غدًا.",safe
"سيتم إيداع المبلغ المستحق في حسابك خلال يومي عمل.",safe
"نذكرك بموعد المحاضرة يوم الثلاثاء الساعة 9 صباحًا.",safe
"تم قبول طلبك المقدم عبر البوابة الإلكترونية الرسمية.",safe
"تم تسليم الشحنة إلى الاستقبال في المبنى رقم 4.",safe
"الاجتماع الداخلي تأجل إلى الخميس القادم دون أي إجراء إضافي.",safe
"تم خصم قيمة الاشتراك الشهري بنجاح عبر التطبيق الرسمي.",safe
